index;imdbID;tmdbID;imdbRating;imdbVoteCount;tmdbRating;originalTitle;genres;countries;year;runtime;cast;significants;title;overview;tagline;video;posterPath;poster_URLs_original;age;netflix;disney;prime;hbo
10;tt0376994;36668;67;498802;64;X-Men: The Last Stand;[28, 12, 878];['CA', 'GB', 'US'];2006;104;['Hugh Jackman', 'Halle Berry', 'Ian McKellen', 'Patrick Stewart', 'Famke Janssen', 'Kelsey Grammer', 'Anna Paquin'];['Brett Ratner'];X-Men: The Last Stand;When a cure is found to treat mutations, lines are drawn amongst the X-Men—led by Professor Charles Xavier—and the Brotherhood, a band of powerful mutants organised under Xavier's former ally, Magneto.;Take a Stand;yaqeXXuoD7I;/7RSSkRpwvkNN5iKO8zACtBA0KhQ.jpg;https://image.tmdb.org/t/p/original/7RSSkRpwvkNN5iKO8zACtBA0KhQ.jpg;10;False;True;False;False
11;tt1270798;49538;77;666663;73;X-Men: First Class;[28, 12, 878];['US'];2011;132;['James McAvoy', 'Michael Fassbender', 'Jennifer Lawrence', 'Rose Byrne', 'Kevin Bacon', 'Oliver Platt', 'January Jones'];['Matthew Vaughn'];X-Men: First Class;Before Charles Xavier and Erik Lensherr took the names Professor X and Magneto, they were two young men discovering their powers for the first time. Before they were arch-enemies, they were closest of friends, working together with other mutants (some familiar, some new), to stop the greatest threat the world has ever known.;Witness the moment that will change our world.;kyQKi5-k0UU;/vUvlOY575rztBuJV3a0dbHW5MQR.jpg;https://image.tmdb.org/t/p/original/vUvlOY575rztBuJV3a0dbHW5MQR.jpg;11;False;True;False;False
12;tt1877832;127585;79;683589;75;X-Men: Days of Future Past;[28, 12, 878];['GB', 'US'];2014;132;['Hugh Jackman', 'James McAvoy', 'Michael Fassbender', 'Jennifer Lawrence', 'Nicholas Hoult', 'Patrick Stewart', 'Ian McKellen'];['Bryan Singer'];X-Men: Days of Future Past;The ultimate X-Men ensemble fights a war for the survival of the species across two time periods as they join forces with their younger selves in an epic battle that must change the past – to save our future.;To save the future, they must alter the past;gsjtg7m1MMM;/9aq2sHfkkAFwH0wi4bZasXA8NbS.jpg;https://image.tmdb.org/t/p/original/9aq2sHfkkAFwH0wi4bZasXA8NbS.jpg;11;False;True;False;False
13;tt3385516;246655;69;412842;65;X-Men: Apocalypse;[28, 12, 878];['US'];2016;144;['James McAvoy', 'Michael Fassbender', 'Jennifer Lawrence', 'Nicholas Hoult', 'Oscar Isaac', 'Rose Byrne', 'Evan Peters'];['Bryan Singer'];X-Men: Apocalypse;After the re-emergence of the world's first mutant, world-destroyer Apocalypse, the X-Men must unite to defeat his extinction level plan.;Only the strong will survive;Jer8XjMrUB4;/2mtQwJKVKQrZgTz49Dizb25eOQQ.jpg;https://image.tmdb.org/t/p/original/2mtQwJKVKQrZgTz49Dizb25eOQQ.jpg;12;False;True;False;False
14;tt0120903;36657;74;591207;70;X-Men;[28, 12, 878];['US'];2000;104;['Hugh Jackman', 'Patrick Stewart', 'Ian McKellen', 'Famke Janssen', 'James Marsden', 'Anna Paquin', 'Shawn Ashmore'];['Bryan Singer'];X-Men;Two mutants, Rogue and Wolverine, come to a private academy for their kind whose resident superhero team, the X-Men, must oppose a terrorist organization with similar powers.;Evolution Begins;VNxwlx6etXI;/ypiv2HEiNftzrg9ovDCFv16Q6Ti.jpg;https://image.tmdb.org/t/p/original/ypiv2HEiNftzrg9ovDCFv16Q6Ti.jpg;11;False;True;False;False
15;tt1772341;82690;77;399396;73;Wreck-It Ralph;[16, 12, 35];['US'];2012;101;"['John C. Reilly', 'Sarah Silverman', 'Jack McBrayer', 'Jane Lynch', ""Ed O'Neill"", 'Dennis Haysbert', 'Edie McClurg']";['Rich Moore'];Wreck-It Ralph;Wreck-It Ralph is the 9-foot-tall, 643-pound villain of an arcade video game named Fix-It Felix Jr., in which the game's titular hero fixes buildings that Ralph destroys. Wanting to prove he can be a good guy and not just a villain, Ralph escapes his game and lands in Hero's Duty, a first-person shooter where he helps the game's hero battle against alien invaders. He later enters Sugar Rush, a kart racing game set on tracks made of candies, cookies and other sweets. There, Ralph meets Vanellope von Schweetz who has learned that her game is faced with a dire threat that could affect the entire arcade, and one that Ralph may have inadvertently started.;The story of a regular guy just looking for a little wreck-ognition.;87E6N7ToCxs;/tlboPAzzBu04D89hJ57CZXmF1fx.jpg;https://image.tmdb.org/t/p/original/tlboPAzzBu04D89hJ57CZXmF1fx.jpg;5;False;True;False;False
16;tt14811630;851122;63;13;0;World's Most Dangerous Shark?;[99];[];2021;44;[];[];World's Most Dangerous Shark?;"The Great White has a scary reputation, but Explorer Jacques Cousteau called the Oceanic White Tip “The most dangerous of all sharks…"" Was he right?";;;/yrwHqEKH4rluopXmB8PciippATl.jpg;https://image.tmdb.org/t/p/original/yrwHqEKH4rluopXmB8PciippATl.jpg;11;False;True;False;False
17;tt14811938;841729;59;27;73;World's Biggest Bull Shark?;[99];[];2021;44;['Jason Hildebrandt'];['David S. Falcone'];World's Biggest Bull Shark?;Scientists seek to find if Big Bull, a bull shark who stretched more than 10-feet long and weighed over 1,000 pounds, is actually the matriarch of a unique population of giants.;;;/l44WptNh2FHXMefLsxD7GIS7OrJ.jpg;https://image.tmdb.org/t/p/original/l44WptNh2FHXMefLsxD7GIS7OrJ.jpg;7;False;True;False;False
18;tt11146690;674419;69;330;82;Wolfgang;[99, 1];['US'];2021;78;['Wolfgang Puck'];['David Gelb'];Wolfgang;"An intimate portrait of the life and work of the original ""celebrity chef"" Wolfgang Puck.";;xDlGkFoj1TY;/5zsgwBHKjPTRM8XAQEYYl5HtFJa.jpg;https://image.tmdb.org/t/p/original/5zsgwBHKjPTRM8XAQEYYl5HtFJa.jpg;8;False;True;False;False
19;tt1369845;26736;62;17244;66;Wizards of Waverly Place: The Movie;[16, 28, 12];['US'];2009;94;['Selena Gomez', 'Jake T. Austin', 'David Henrie', 'Maria Canals-Barrera', 'David DeLuise', 'Jennifer Stone', 'Steve Valentine'];['Lev L. Spiro'];Wizards of Waverly Place: The Movie;Powerful magic cast by Alex spells trouble for the Russo's. The kids must go on an adventure to save their family and their existence.;Family vacations can be tricky.;GRizB__8zHk;/reHGWHlF5tHwFQiFmsWHn9gwIpq.jpg;https://image.tmdb.org/t/p/original/reHGWHlF5tHwFQiFmsWHn9gwIpq.jpg;3;False;True;False;False
