index;imdbID;tmdbID;imdbRating;imdbVoteCount;tmdbRating;originalTitle;genres;countries;year;runtime;cast;significants;title;overview;tagline;video;posterPath;poster_URLs_original;age;netflix;disney;prime;hbo;
4010;tt7790894;573858;46;569;42;Ciemno, prawie noc;[80, 18];['PL'];2019;114;['Magdalena Cielecka', 'Marcin Dorociński', 'Dawid Ogrodnik', 'Dorota Kolak', 'Aleksandra Konieczna', 'Jerzy Trela', 'Eliza Rycembel'];['Borys Lankosz'];Dark, Almost Night;A reporter, Alicja Tabor, after many years returns to her hometown of Wałbrzych to write a report about kidnapped children and also to face her own dark family history.;;;/ayNQIrEDAbubx4DgvqVcFdmSEiX.jpg;https://image.tmdb.org/t/p/original/ayNQIrEDAbubx4DgvqVcFdmSEiX.jpg;16;False;False;True;False;
4011;tt4117850;360697;64;714;62;Cider with Rosie;[18];['GB'];2015;90;['Samantha Morton', 'Timothy Spall', 'June Whitfield', 'Shola Adewusi', 'Finn Bennett', 'Bebe Cave', 'Archie Cox'];['Philippa Lowthorpe'];Cider with Rosie;A semi-autobiographical coming-of-age story set in the Cotswolds during and immediately after the First World War.;Based on the classic coming of age memoir by Laurie Lee;;/1Th0SFSjHnt2Fyi8GuzcQqZ1HFv.jpg;https://image.tmdb.org/t/p/original/1Th0SFSjHnt2Fyi8GuzcQqZ1HFv.jpg;12;False;False;True;False;
4012;tt0126240;56774;59;1093;50;Chutney Popcorn;[18];['US'];2001;92;['Nisha Ganatra', 'Jill Hennessy', 'Sakina Jaffrey', 'Madhur Jaffrey', 'Nick Chinlund', 'Cara Buono'];['Nisha Ganatra'];Chutney Popcorn;Reena is a young Indian American lesbian who lives and works in New York. Her sister Sarita, who is happily married, discovers that she is infertile. Reena offers to be a surrogate mother for her sister's baby, hoping to improve her relationship with their mother, who disapproves of Reena's sexual orientation. Reena has second thoughts when her girlfriend Lisa feels left out.;A woman. Her girlfriend. A sister. Her husband. Their baby.;;/pJ3pnvwUar9nrkMDzD0OtEDpFuA.jpg;https://image.tmdb.org/t/p/original/pJ3pnvwUar9nrkMDzD0OtEDpFuA.jpg;13;False;False;True;False;
4013;tt2993674;249062;62;1173;62;Christmas on the Bayou;[18, 10749];['US'];2013;86;['Hilarie Burton', 'Tyler Hilton', 'Randy Travis', 'Markie Post', 'Ed Asner', 'Brody Rose', 'Ariana Neal'];['Leslie Hope'];Christmas on the Bayou;When successful New York marketing executive Katherine discovers her workaholic ways are taking a toll on her eight-year-old son, Zac, she decides to spend Christmas with him and her mother, Lilly in her home town on the bayou. When Caleb tries to rekindle a childhood romance and convince her to move back home, Katherine is torn between the bright lights of the big city and the quiet, gentler rhythms of her Southern roots. Only a Christmas miracle orchestrated by Papa Noel can steer her heart to her true home.;;bMQ9yK4EZaQ;/FCCzbkwUCVAy0RjlkRJrWdKP5Q.jpg;https://image.tmdb.org/t/p/original/FCCzbkwUCVAy0RjlkRJrWdKP5Q.jpg;4;False;False;True;False;
4014;tt7621886;486865;65;1252;63;Christmas in Mississippi;[18, 10749];['US'];2017;93;['Jana Kramer', 'Wes Brown', 'Faith Ford', 'Trace Masters', 'Charles Adams', 'Barry Bostwick', 'Gary Grubbs'];['Emily Moss Wilson'];Christmas in Mississippi;Photographer Holly Logan returns to her hometown of Gulfport, Mississippi for Christmas. The town is resurrecting their traditional holiday light show for the first time since a terrible hurricane struck five years earlier. Holly volunteers to pitch in, but soon has second thoughts when she discovers the festival is run by her high school sweetheart, Mike.;;IJlgRdMk7HQ;/8QuTa9ygzYmNiAJcV9W3U6fNMWa.jpg;https://image.tmdb.org/t/p/original/8QuTa9ygzYmNiAJcV9W3U6fNMWa.jpg;3;False;False;True;False;
4015;tt3482032;560811;60;73;0;Christmas With the Karountzoses;[35];[];2015;110;['Nicole Laino', 'Kee Broussard', 'Angelo Tsarouchas', 'George Kosturos', 'Jon Alexi', 'John Copeland', 'Chris Kerhulas'];['Robert Krantz', 'J. J. Englert'];Christmas With the Karountzoses;It's Christmas Eve, and a Greek family are poised to celebrate the festive season and the recent job promotion of the chief breadwinner, Michael. But when his promotion falls through, the evening loses the spirit of Christmas celebration for Michael.;;;/f9Sgj9TOFrJaC12D4ey4deaI0Fb.jpg;https://image.tmdb.org/t/p/original/f9Sgj9TOFrJaC12D4ey4deaI0Fb.jpg;-1;False;False;True;False;
4016;tt13309552;748898;54;275;55;Christmas Together;[10749];['US'];2020;86;['Anna Marie Dobbins', 'Vivica A. Fox', 'Marc Herrmann', 'Rylie Coe', 'Jensen Atwood', 'Carla Mitchell', 'Ciarra Carter'];['David DeCoteau'];Christmas Together;A brokenhearted New York painter, Ava, and a West Coast widower, Mason, have their lives collide when Mason’s young daughter, Mia, rents out his guest house to Ava for Christmas, without her dad's knowledge, in an attempt to convince her dad she is responsible enough to earn a dog for Christmas.;;kmZgety_H_4;/MKgopT6vlEc6aUR71MUOs7SCaR.jpg;https://image.tmdb.org/t/p/original/MKgopT6vlEc6aUR71MUOs7SCaR.jpg;-1;False;False;True;False;
4017;tt10854916;657293;46;423;46;Christmas Crush;[35, 10749];['CA'];2019;87;['Cindy Sampson', 'Robin Dunne', 'Chris Violette', 'Erica Deutschman', 'Paul Constable', 'Konstantina Mantelos', 'John Andrews'];['Marita Grabiak'];Christmas Crush;When holiday fanatic Addie (Cindy Sampson) makes a Christmas wish for her next door neighbor Sam (Robin Dunne) to fall in love with her, she’s not expecting anything to happen – and she definitely isn’t expecting the wish to go awry and cause her other neighbor, Pete (Chris Violette) to fall in love instead. When Pete’s romantic gestures grow more and more over-the-top, Addie recruits Sam to help. With Sam’s assistance, can Addie break the spell by Christmas? Or will she spend the rest of her life dealing with a love-lorn Pete?;;Lq_a-AW_aqE;/kgagVIpgZkxwVmY2tvuYVQmnQRZ.jpg;https://image.tmdb.org/t/p/original/kgagVIpgZkxwVmY2tvuYVQmnQRZ.jpg;4;False;False;True;False;
4018;tt10165624;643076;34;167;53;Christmas Coupon;[10749];[];2019;92;['Courtney Mathews', 'Aaron Noble', 'Robert Laenen', 'Sheena Monnin', 'Daniel Knudsen', 'Napoleon', 'Tim Kaiser'];['Daniel Knudsen'];Christmas Coupon;Alison Grant begins teaching ice skating students on a friend's frozen pond after being fired from her rink job. On the first day of class her old high school sweetheart and now famous hockey player, Ivan Hall, unexpectedly shows up when he brings his niece for her skating lessons. While an initially cold reunion ensues, eventually Alison warms up to Ivan again.;A romance on ice;cZ3g4YFG4Nc;/vJaC4r1M8khVJuCrgERDVeDxbWj.jpg;https://image.tmdb.org/t/p/original/vJaC4r1M8khVJuCrgERDVeDxbWj.jpg;-1;False;False;True;False;
4019;tt11152492;625290;70;77;55;Chris Ramsey: Approval Needed;[35];['GB'];2019;66;['Chris Ramsey'];[];Chris Ramsey: Approval Needed;"The critically acclaimed comedian Chris Ramsey brings his latest stand-up show exclusively to Amazon this summer. Join the ""brilliantly engaging natural storyteller"" (Evening Standard) as he explores everything in his life from his near-miss with Hollywood superstardom to his recent near miss with death, what to do when they stop selling your favourite underpants, and how to avoid giving up on life in your 30’s and buying a caravan... all while being sure to watch his tone (at the request of his wife).";;S85Kvs8FSro;/gDCLDibxglt7CVDNCnyn9Hcs9F.jpg;https://image.tmdb.org/t/p/original/gDCLDibxglt7CVDNCnyn9Hcs9F.jpg;-1;False;False;True;False;
4020;tt3041030;257769;78;420;68;Chris Porter: Ugly and Angry;[35];[];2014;60;['Chris Porter'];['Jay Chapman'];Chris Porter: Ugly and Angry;"In this stand-up special filmed in Kansas City, comedian Chris Porter, an ex-finalist on ""Last Comic Standing,"" delivers his takes on drugs, growing old, women's fashion and his love for Taco Bell.";;;/uouIbxMMHj3tWfbU51XUEyc4xgV.jpg;https://image.tmdb.org/t/p/original/uouIbxMMHj3tWfbU51XUEyc4xgV.jpg;-1;False;False;True;False;
4021;tt8880188;596145;79;96;65;Chris Porter: A Man From Kansas;[35];[];2019;58;['Chris Porter'];['Brian Volk-Weiss'];Chris Porter: A Man From Kansas;Chris Porter discusses everything from hipsters ruining food, to being a man, to playing beer pong with celebrities, in his 3rd one hour special. No politics. No religion. No racism. Just a man from Kansas...Live in Colorado.;;LTr68h9J5XM;/jcmhZtRpkVrOY8a2X9YkrBh7zNx.jpg;https://image.tmdb.org/t/p/original/jcmhZtRpkVrOY8a2X9YkrBh7zNx.jpg;-1;False;False;True;False;
4022;tt13665118;835857;81;15;0;Chris Gethard: Half My Life;[35];[];2021;60;['Chris Gethard', 'Carmen Christopher'];[];Chris Gethard: Half My Life;This comedy special sees Chris Gethard deliver his blend of hard-hitting stand up and storytelling at small venues across the country at the end of 2019, with documentary footage that shows the reality of what life on the road is really like for a touring comedian.;;;/l4RgYPZkLz915kUu7TqSamuBV9D.jpg;https://image.tmdb.org/t/p/original/l4RgYPZkLz915kUu7TqSamuBV9D.jpg;-1;False;False;True;False;
4023;tt7929156;288410;66;291;66;Chris Claremont's X-Men;[99];['US'];2018;70;['Hallie Cooper-Novack', 'Chris Claremont', 'Jason Aaron', 'Sean Howe', 'Tom McLean', 'Ann Nocenti', 'Peter Sanderson'];['Patrick Meaney'];Chris Claremont's X-Men;Chris Claremont’s X-Men takes an in-depth look at Claremont’s monumental run. Using high-profile interviews, the film explores the behind-the-scenes development of notable characters like Wolverine, Storm, and Phoenix, as well as the challenges of creating art within a corporate system.;A documentary film on the man who defined the X-Men and changed comics forever;g2gRvYfO1pk;/lB6ZhOng2XhduM0aID0pzzJLHyQ.jpg;https://image.tmdb.org/t/p/original/lB6ZhOng2XhduM0aID0pzzJLHyQ.jpg;-1;False;False;True;False;
4024;tt4082524;407518;53;937;50;Chosen;[18, 10752];['GB'];2016;101;['Luke Mably', 'Ana Ularu', 'Harvey Keitel', 'Radu Bânzaru', 'Andrei Albulescu', 'Tomasz Aleksander', 'Alma Caldare'];['Jasmin Dizdar'];Chosen;An unassuming young lawyer leads a fight against the Nazis near the end of the Second World War.;Heroes are found in the most unexpected places.;9P-ypYAjWDk;/lseAqNgPOyvaj3ZoAywGT0wfrrn.jpg;https://image.tmdb.org/t/p/original/lseAqNgPOyvaj3ZoAywGT0wfrrn.jpg;16;False;False;True;False;
4025;tt4841688;496892;66;48;0;Chonda Pierce: Laughing in the Dark;[99];['US'];2015;92;['Chonda Pierce'];['Rick Altizer'];Chonda Pierce: Laughing in the Dark;Documentary about the life of Christian comedian Chonda Pierce, the RIAA's number one selling female comedian of all time.;;;/4iS8vfAJWTfJBKAdwAPXLr8syTx.jpg;https://image.tmdb.org/t/p/original/4iS8vfAJWTfJBKAdwAPXLr8syTx.jpg;7;False;False;True;False;
4026;tt0082172;218624;45;309;70;Choices;[18];[];1981;90;['Paul Carafotes', 'Victor French', 'Lelia Goldoni', 'Val Avery', 'Demi Moore', 'William R. Moses', 'Bryon Morrow'];['Silvio Narizzano'];Choices;A popular high school student seems to have it all;;;;;;;;;;
4027;tt3481000;338107;39;1111;55;Chocolate City;[18];['US'];2015;91;"[""Robert Ri'chard"", 'Vivica A. Fox', 'DeRay Davis', 'Michael Jai White', 'Tyson Beckford', 'Darrin Henson', 'Jean-Claude La Marre']";['Jean-Claude La Marre'];Chocolate City;Life for a struggling college student changes in an instant when he meets the owner of a male strip club who convinces him to give amateur night a whirl.;;9xFpe8iQCDo;/5P3T3qQ8LxFyd4vpKJmIM7GRfqf.jpg;https://image.tmdb.org/t/p/original/5P3T3qQ8LxFyd4vpKJmIM7GRfqf.jpg;16;False;False;True;False;
4028;tt0388835;89585;72;293;84;Chisholm '72: Unbought & Unbossed;[99];['US'];2004;75;['Shirley Chisholm'];['Shola Lynch'];Chisholm '72: Unbought & Unbossed;In 1968, Shirley Chisholm becomes the first black woman elected to Congress. In 1972, she becomes the first black woman to run for president. Shunned by the political establishment, she's supported by a motley crew of blacks, feminists, and young voters. Their campaign-trail adventures are frenzied, fierce and fundamentally right on!;;;/2AzPwr7B0ipJeU6y4THGxs0UZVv.jpg;https://image.tmdb.org/t/p/original/2AzPwr7B0ipJeU6y4THGxs0UZVv.jpg;-1;False;False;True;False;
4029;tt10005622;826056;48;86;0;Chinese Speaking Vampires;[28];[];2021;80;[];[];Chinese Speaking Vampires;A desperate actor uses his powers as a vampire to land a movie role.;;;/9O9FLxivhzNipVOUvCvRH5l0Ais.jpg;https://image.tmdb.org/t/p/original/9O9FLxivhzNipVOUvCvRH5l0Ais.jpg;-1;False;False;True;False;
4030;tt0118851;30265;63;3334;59;Chinese Box;[18, 10749];['FR', 'HK', 'JP', 'GB', 'US'];1997;99;['Jeremy Irons', 'Gong Li', 'Maggie Cheung', 'Michael Hui', 'Rubén Blades', 'Jared Harris', 'Josie Ho'];['Wayne Wang'];Chinese Box;The story of Hong Kong, from New Year's Day to June 30th, 1997, when the British left their colony and turned it over to the People's Republic of China.;;;/cA7DXTBSijHTWIbcZVEV0xhsCJz.jpg;https://image.tmdb.org/t/p/original/cA7DXTBSijHTWIbcZVEV0xhsCJz.jpg;16;False;False;True;False;
4031;tt0103957;61054;47;1108;46;Children of the Night;[27];['US'];1991;92;['Karen Black', 'Peter DeLuise', 'Ami Dolenz', 'Maya McLaughlin', 'Evan MacKenzie', 'Garrett Morris', 'David Sawyer'];['Tony Randel'];Children of the Night;Cindy and Lucy are eighteen and going away to college. As a ritual they must rid themselves of the dirt of their small home town (Allburg) by swimming in an abandoned church crypt. They jump in and begin talking about sex when Lucys crucifix falls into the water and drifts down to land on Czakyr's (an ancient vampire) head, apparently waking him up. Some time onwards a school teacher from a nearby town, Mark, gets directed to Allburg to help Lucy and her grandmother, who are suspected to be in trouble. Lucy becomes the target of a town turned vampire because of her 'virgin blood'. Mark, Lucy and an old wino shack up in an abandoned building outside of town but eventually get lured back to Allburg by the locals. There, with a giant glowing cross spearing the front of their Toyota, they take the town on and battle Czakyr.;Be home before nightfall... and pray for dawn!;6E1rkVqwxqk;/hvXqvntgMKFxhwxt18sD7R0tuLq.jpg;https://image.tmdb.org/t/p/original/hvXqvntgMKFxhwxt18sD7R0tuLq.jpg;17;False;False;True;False;
4032;tt0087050;10823;56;50624;57;Children of the Corn;[27, 53];['US'];1984;93;['Peter Horton', 'Linda Hamilton', 'R. G. Armstrong', 'John Franklin', 'Courtney Gains', 'Anne Marie McEvoy', 'Robby Kiger'];['Fritz Kiersch'];Children of the Corn;A boy preacher named Isaac goes to a town in Nebraska called Gatlin and gets all the children to murder every adult in town.;In their world adults are not allowed... to live.;dClKllEv5MU;/l9w2y7KyEu2ed5nohsZnrKxapE3.jpg;https://image.tmdb.org/t/p/original/l9w2y7KyEu2ed5nohsZnrKxapE3.jpg;16;False;False;True;False;
