index;imdbID;tmdbID;imdbRating;imdbVoteCount;tmdbRating;originalTitle;genres;countries;year;runtime;cast;significants;title;overview;tagline;video;posterPath;poster_URLs_original;age;netflix;disney;prime;hbo
1074;tt0095593;2321;62;17170;59;Married to the Mob;[35, 80, 10749];['US'];1988;104;['Michelle Pfeiffer', 'Matthew Modine', 'Oliver Platt', 'Alec Baldwin', 'Dean Stockwell', 'Mercedes Ruehl', 'Joan Cusack'];['Jonathan Demme'];Married to the Mob;"Angela de Marco is fed up with her gangster husband's line of work and wants no part of the crime world. When her husband is killed for having an affair with the mistress of mob boss Tony ""The Tiger"" Russo, Angela and her son depart for New York City to make a fresh start. Unfortunately, Tony has set his sights upon Angela -- and so has an undercover FBI agent looking to use her to bust Tony.";They're her family... Whether she likes it or not.;0HzVViszAWI;/gkOsxv1RvV5smRnm6wrmn2wDXyZ.jpg;https://image.tmdb.org/t/p/original/gkOsxv1RvV5smRnm6wrmn2wDXyZ.jpg;11;False;False;False;True
1075;tt15046062;850654;37;203;40;Marlon Wayans: You Know What It Is;[35];['US'];2021;58;['Marlon Wayans'];['Marlon Wayans'];Marlon Wayans: You Know What It Is;Marlon explores his greatest fears onstage whilst he explains his prominent consternation and trepidation.;;DZa6ZbjZrbs;/svSY7pZSmS2rBEyq9OkvGHbcvoH.jpg;https://image.tmdb.org/t/p/original/svSY7pZSmS2rBEyq9OkvGHbcvoH.jpg;-1;False;False;False;True
1076;tt0089555;87400;67;945;55;Marie;[1, 18];['US'];1985;112;['Sissy Spacek', 'Jeff Daniels', 'Keith Szarabajka', 'Morgan Freeman', 'Fred Dalton Thompson', 'Lisa Banes', 'Trey Wilson'];['Roger Donaldson'];Marie;A single mother takes a job with the government where she is confronted with corruption.;Criminals went free. Officials were bribed. Witnesses were threatened. The F.B.I. couldn't stop it. One woman did. She challenged the State of Tennessee and put criminal justice on trial.;0VbmcuqT2ls;/ulZH8aa972yRBDnbbt07LCvHjDd.jpg;https://image.tmdb.org/t/p/original/ulZH8aa972yRBDnbbt07LCvHjDd.jpg;14;False;False;False;True
1077;tt6047906;418693;79;844;66;Marathon: The Patriots Day Bombing;[99];['US'];2016;108;['Celeste Corcoran', 'Jessica Kensky', 'Patrick Downes', 'Sydney Corcoran'];['Ricki Stern', 'Anne Sundberg'];Marathon: The Patriots Day Bombing;Recounts the dramatic story of the April 2013 terrorist attack at the Boston Marathon through the experiences of individuals whose lives were affected. Ranging from the events of the day to the death-penalty sentencing of Dzhokhar Tsarnaev, the film features surveillance footage, news clips, home movies and exclusive interviews with survivors and their families, as well as first responders, investigators, government officials and reporters from the Boston Globe, which won a Pulitzer Prize for its coverage of the bombing. In the wake of terrorism, a newlywed couple, a mother and daughter, and two brothers - all gravely injured by the blast - face the challenges of physical and emotional recovery as they and their families strive to reclaim their lives and communities.;American strength. Individual courage. It didn't end at the finish line.;dBV8YuSW7rY;/bF5coktJHjgNrSSimdqGQRmjJUi.jpg;https://image.tmdb.org/t/p/original/bF5coktJHjgNrSSimdqGQRmjJUi.jpg;18;False;False;False;True
1078;tt0074860;10518;74;61196;73;Marathon Man;[80, 53];['US'];1976;125;['Dustin Hoffman', 'Laurence Olivier', 'Roy Scheider', 'William Devane', 'Marthe Keller', 'Fritz Weaver', 'Richard Bright'];['John Schlesinger'];Marathon Man;A graduate student and obsessive runner in New York is drawn into a mysterious plot involving his brother, a member of the secretive Division.;One man's dangerous attempts to clear his father's name;8WmlhEO2cU4;/uPNgubSiri2yvBQRPtP77ViYjN.jpg;https://image.tmdb.org/t/p/original/uPNgubSiri2yvBQRPtP77ViYjN.jpg;17;False;False;False;True
1079;tt5275838;373349;76;1406;74;Mapplethorpe: Look at the Pictures;[99, 1];['DE', 'US'];2016;105;['Robert Mapplethorpe', 'Patti Smith', 'Fran Lebowitz', 'Debbie Harry', 'Brooke Shields', 'Carolina Herrera', 'Paul Martineau'];['Fenton Bailey', 'Randy Barbato'];Mapplethorpe: Look at the Pictures;Nude men in rubber suits, close-ups of erections, objects shoved in the most intimate of places—these are photographs taken by Robert Mapplethorpe, known by many as the most controversial photographer of the twentieth century. Openly gay, Mapplethorpe took images of male sex, nudity, and fetish to extremes that resulted in his work still being labelled by some as pornography masquerading as art. But less talked about are the more serene, yet striking portraits of flowers, sculptures, and perfectly framed human forms that are equally pioneering and powerful.;;gkNCITzUA3U;/axzBW0zZYagFRpqL084v6aKdmOZ.jpg;https://image.tmdb.org/t/p/original/axzBW0zZYagFRpqL084v6aKdmOZ.jpg;17;False;False;False;True
1080;tt1498566;248881;70;175;70;Mann v. Ford;[99];['US'];2011;105;['Vicki Gilliam', 'Wayne Mann', 'Vivian Milligan', 'John Corzine', 'Lisa P. Jackson', 'Jan Barry', 'Barbara Williams'];['Maro Chermayeff', 'Micah Fink'];Mann v. Ford;Thirty years after Ford Motor Company began dumping toxic waste in their backyard--and after one too many premature deaths--the Ramapo Mountain Indians filed a major class-action lawsuit: Mann v. Ford. This compelling documentary reveals the story of how this tiny tribe and their team of passionate lawyers took on the 'big dogs'--Ford and the Environmental Protection Agency.;;;/oQGUd1vgWWgipdBAb3RRRpXgsHa.jpg;https://image.tmdb.org/t/p/original/oQGUd1vgWWgipdBAb3RRRpXgsHa.jpg;7;False;False;False;True
1081;tt6082556;523772;74;34;0;Manic;[6, 18];[];2017;18;['Shanice Williams', 'Sydney Sweeney'];['Kate Marks'];Manic;An Ivy-­league bound, overachieving teen is derailed after a manic episode lands her in a school for kids with mental illness.;;;/qHJBTHULZLHKrsWCqBrBkOs0Y3h.jpg;https://image.tmdb.org/t/p/original/qHJBTHULZLHKrsWCqBrBkOs0Y3h.jpg;-1;False;False;False;True
1082;tt2475544;159011;68;1010;69;Manhunt: The Inside Story of the Hunt for Bin Laden;[99, 36, 10752];['GB', 'US', 'AF'];2013;100;[];['Greg Barker'];Manhunt: The Inside Story of the Hunt for Bin Laden;An espionage tale from inside the CIA's long conflict against Al Qaeda, as revealed by the remarkable women and men whose secret war against Osama bin Laden started nearly a decade before most of us even knew his name.;The raid took 40 minutes. The search took two decades.;AbxMqoGcxSs;/xCW8CaeqZmVy6pS2i1sZZgkR6bD.jpg;https://image.tmdb.org/t/p/original/xCW8CaeqZmVy6pS2i1sZZgkR6bD.jpg;15;False;False;False;True
1083;tt0770828;49521;70;735184;66;Man of Steel;[28, 12, 878];['GB', 'US'];2013;143;['Henry Cavill', 'Amy Adams', 'Michael Shannon', 'Diane Lane', 'Russell Crowe', 'Kevin Costner', 'Laurence Fishburne'];['Zack Snyder'];Man of Steel;A young boy learns that he has extraordinary powers and is not of this earth. As a young man, he journeys to discover where he came from and what he was sent here to do. But the hero in him must emerge if he is to save the world from annihilation and become the symbol of hope for all mankind.;You will believe that a man can fly.;vGrBV1C4hgo;/8GFtkImmK0K1VaUChR0n9O61CFU.jpg;https://image.tmdb.org/t/p/original/8GFtkImmK0K1VaUChR0n9O61CFU.jpg;11;False;False;False;True
