index;imdbID;tmdbID;imdbRating;imdbVoteCount;tmdbRating;originalTitle;genres;countries;year;runtime;cast;significants;title;overview;tagline;video;posterPath;poster_URLs_original;age;netflix;disney;prime;hbo
1525;tt1587263;38614;53;4988;49;Romantik Komedi;[35, 10749];[];2010;95;['Sedef Avci', 'Cemal Hünal', 'Begüm Kütük', 'Engin Altan Düzyatan', 'Sinem Kobal', 'Burcu Kara'];['Ketche'];Romantik Komedi;Esra, Didem ve Zeynep çok yakın arkadaş olmalarına rağmen birbirinden farklı hayatlar sürdüren farklı karakterlere sahip üç kişidir. Sessiz sakin olan Esra, deli dolu olan� Didem ve dominant karaktere sahip olan Zeynep.. Bu üç arkadaştan istikrarlı olarak ilişkisini sürdürebilmiş olan Zeynep'in düğünü hem Esra'nın hem de Didem'in hayatında değişik süprizlere neden olacaktır. İstemediği bir işte yıllardır çalışan Esra bir cesaret örneği göstererek, hayatını değiştirmeye karar verir. Bunun için ilk adımı atar ve işinden istifa eder, kötü giden ilişkisini sona erdirir. Uzun iş aramalarından sonra zar zor iş bulduğu reklam ajansına çalışmaya başlayana Esra'yı bir sürpriz bekliyordur.;;;/8JTvDkPBrS3RUudeJFZ55EPTODo.jpg;https://image.tmdb.org/t/p/original/8JTvDkPBrS3RUudeJFZ55EPTODo.jpg;15;True;False;False;False
1526;tt6155172;426426;77;149887;77;Roma;[18];['US', 'MX'];2018;135;['Yalitza Aparicio', 'Marina de Tavira', 'Diego Cortina Autrey', 'Carlos Peralta', 'Marco Graf', 'Daniela Demesa', 'Nancy García García'];['Alfonso Cuarón'];Roma;In 1970s Mexico City, two domestic workers help a mother of four while her husband is away for an extended period of time.;There are periods in history that scar societies and moments in life that transform us as individuals.;Ug0FT_2YQNQ;/kxZUWtJGbGqaUdXCYg2CTs8wyEc.jpg;https://image.tmdb.org/t/p/original/kxZUWtJGbGqaUdXCYg2CTs8wyEc.jpg;14;True;False;False;False
1527;tt9577852;574638;76;6234;72;Rolling Thunder Revue: A Bob Dylan Story by Martin Scorsese;[99, 1, 36];['US'];2019;142;['Bob Dylan', 'Allen Ginsberg', 'Patti Smith', 'Martin von Haselberg', 'Scarlet Rivera', 'Joan Baez', 'Roger McGuinn'];['Martin Scorsese'];Rolling Thunder Revue: A Bob Dylan Story by Martin Scorsese;Part documentary, part concert film, part fever dream, this film captures the troubled spirit of America in 1975 and the joyous music that Dylan performed during the fall of that year.;;PS4gsWDSn68;/ixxELBgYj9OH8hz0XCrcZOJpIx9.jpg;https://image.tmdb.org/t/p/original/ixxELBgYj9OH8hz0XCrcZOJpIx9.jpg;14;True;False;False;False
1528;tt5655642;603570;83;92;60;Roll with Me;[99];['US'];2017;90;[];['Lisa France'];Roll with Me;After hitting rock-bottom, a newly sober paraplegic attempts to save his gang-banger nephew's life by bringing him along on a 3,100-mile wheelchair trek across the United States.;;;/gr9pzszqP1IJc26ALi1FpZDNTzd.jpg;https://image.tmdb.org/t/p/original/gr9pzszqP1IJc26ALi1FpZDNTzd.jpg;-1;True;False;False;False
1529;tt7983712;635776;31;534;54;Rogue Warfare: The Hunt;[28];['US'];2019;103;['Will Yun Lee', 'Stephen Lang', 'Chris Mulkey', 'Fernando Chien', 'Essam Ferris', 'Bertrand-Xavier Corbi', 'Rory Markham'];['Mike Gunther'];Rogue Warfare: The Hunt;The next installment of the Rogue Warfare Trilogy. Daniel has been captured and it is up to the TEAM to find him before it is to late.;;7s61QDw4oSY;/hJRvrrBPSDV6PbE4xek3mUt2Cfq.jpg;https://image.tmdb.org/t/p/original/hJRvrrBPSDV6PbE4xek3mUt2Cfq.jpg;13;True;False;False;False
1530;tt7983744;635780;33;343;46;Rogue Warfare: Death of a Nation;[28];['US'];2020;103;['Stephen Lang', 'Chris Mulkey', 'Will Yun Lee', 'Rory Markham', 'Katie Keene', 'Fernando Chien', 'Jermaine Love'];['Mike Gunther'];Rogue Warfare: Death of a Nation;After rescuing Daniel from the terrorist Black Mask Organization, the team uncovers plans for a deadly bomb set to detonate in 36 hours that threatens world order. With no time to recover, Daniel must throw his life back on the line as he and his elite team of soldiers race against time to find the bomb and defeat their enemy once and for all. Outnumbered and overmatched, each soldier must find their inner strength and skill to overcome insurmountable odds.;The ultimate battle.;nPU854o4Rgw;/8GVpIEBqlRBvx28G0LfEX0U8D2k.jpg;https://image.tmdb.org/t/p/original/8GVpIEBqlRBvx28G0LfEX0U8D2k.jpg;13;True;False;False;False
1531;tt5266668;627879;28;1322;56;Rogue Warfare;[28, 10752];['US'];2019;103;['Stephen Lang', 'Will Yun Lee', 'Chris Mulkey', 'Rory Markham', 'Roman Mitichyan', 'Jermaine Love', 'Bertrand-Xavier Corbi'];['Mike Gunther'];Rogue Warfare;A group of military elite from the U.S., Russia, UK, China and France join forces to fight an elite underground terrorist network.;All nations, one enemy.;FeAJwJwqNQo;/78hDh9EHDMbox4FlKlOrRfrmgpU.jpg;https://image.tmdb.org/t/p/original/78hDh9EHDMbox4FlKlOrRfrmgpU.jpg;13;True;False;False;False
1532;tt6624312;454854;58;578;52;Rodney King;[18];['US'];2017;52;['Roger Guenveur Smith'];['Spike Lee'];Rodney King;25 years ago, four LAPD officers were acquitted in a state court for beating King, sparking three days of rioting that left 53 people dead. Now, around the anniversary, this Spike Lee-produced one-man show (Roger Guenver Smith) will be streaming on Netflix. A complex, semi-tragic figure, King drowned in 2012. His life was rarely smooth, or simple – its telling makes for a sober, moving watch.;;zjauUcjAXh0;/tEoQJI4QmKpmYSlgFWOIntg7F2o.jpg;https://image.tmdb.org/t/p/original/tEoQJI4QmKpmYSlgFWOIntg7F2o.jpg;18;True;False;False;False
1533;tt7582798;478548;45;154;51;Rodney Carrington: Here Comes the Truth;[99, 35];[];2017;66;['Rodney Carrington'];['Brandon Jones'];Rodney Carrington: Here Comes the Truth;Raunchy country comic and musician Rodney Carrington jokes and sings about life in his 40s, poking fun at sex, relationships and gaining weight.;;dOHeXbbgoJk;/jYsHKbkDROvdk71OtuL89sSKHHv.jpg;https://image.tmdb.org/t/p/original/jYsHKbkDROvdk71OtuL89sSKHHv.jpg;18;True;False;False;False
1534;tt9067182;575773;75;4176;67;Rocks;[18];['GB'];2019;94;"['Bukky Bakray', 'Kosar Ali', ""D'angelou Osei Kissiedu"", 'Shaneigha-Monik Greyson', 'Ruby Stokes', 'Tawheda Begum', 'Afi Okaidja']";['Sarah Gavron'];Rocks;A young teenage girl finds herself struggling to take care of herself and her younger brother after being abandoned by their single mother with no choice but to live out on the streets.;;CqXhMYjasHM;/8Mg4ew6drIax6ZmeY22dxM8ujBk.jpg;https://image.tmdb.org/t/p/original/8Mg4ew6drIax6ZmeY22dxM8ujBk.jpg;11;True;False;False;False
