,id,group
0,tt4191054,16
1,tt1245537,99
2,tt0348124,16
3,tt0250754,35
4,tt1579247,35
5,tt4858674,35
6,tt2527338,28
7,tt2527336,28
8,tt2488496,28
9,tt1185834,16
10,tt10951528,99
11,tt0121766,28
12,tt0121765,28
13,tt0120915,28
14,tt14578676,6
15,tt0076759,28
16,tt0111271,12
17,tt1792131,10751
18,tt0088161,35
19,tt12969826,10751
20,tt1164647,12
21,tt2948372,16
22,tt3778644,28
23,tt1068284,10751
