source,target,value
tt7970348,tt0414951,30.0
tt2486682,tt4736550,15.0
tt2017020,tt0472181,31.0
tt2017020,tt5691024,30.0
tt2017020,tt0331632,30.0
tt2017020,tt0267913,30.0
tt0472181,tt5691024,30.0
tt0472181,tt0331632,30.0
tt0472181,tt0267913,30.0
tt5691024,tt0331632,30.0
tt5691024,tt0267913,30.0
tt0331632,tt0267913,31.0
tt7315484,tt0119707,30.0
tt11263022,tt6832388,30.0
tt0134067,tt0337711,10.833333333333332
tt4995776,tt1015474,30.0
tt10161886,tt1684226,30.0
tt1059955,tt1059955,31.428571428571427
tt0075029,tt0186566,30.76923076923077
tt0075029,tt0105695,30.76923076923077
tt0075029,tt0076070,30.909090909090907
tt0075029,tt6802308,30.0
tt0075029,tt0327056,30.0
tt0186566,tt0105695,30.76923076923077
tt0186566,tt0076070,30.76923076923077
tt0186566,tt6802308,30.0
tt0186566,tt0327056,30.76923076923077
tt0105695,tt0076070,30.76923076923077
tt0105695,tt6802308,30.0
tt0105695,tt0327056,30.0
tt0076070,tt6802308,30.0
tt0076070,tt0327056,30.0
tt6802308,tt0327056,30.0
tt4943322,tt0102945,30.0
tt4943322,tt0356618,30.0
tt0102945,tt0356618,30.0
tt0069049,tt0040525,30.0
tt2402157,tt0200465,30.0
tt2402157,tt0105813,30.0
tt2402157,tt0093640,30.0
tt0200465,tt0105813,30.0
tt0200465,tt0093640,30.0
tt0105813,tt0093640,30.0
tt0110657,tt0112342,30.0
tt0110657,tt0105191,30.0
tt0112342,tt0105191,30.0
tt2389344,tt3528284,30.0
tt10540242,tt8805246,30.0
tt0380510,tt0167261,30.0
tt0380510,tt0167260,30.0
tt0380510,tt0120737,30.0
tt0380510,tt1170358,30.0
tt0380510,tt2310332,30.0
tt0167261,tt0167260,31.25
tt0167261,tt0120737,31.25
tt0167261,tt1170358,30.76923076923077
tt0167261,tt2310332,30.76923076923077
tt0167260,tt0120737,31.25
tt0167260,tt1170358,30.76923076923077
tt0167260,tt2310332,30.76923076923077
tt0120737,tt1170358,30.76923076923077
tt0120737,tt2310332,30.76923076923077
tt1170358,tt2310332,31.25
tt8851668,tt5462602,30.76923076923077
tt0081071,tt0088194,30.0
tt0081071,tt0080120,30.0
tt0081071,tt0281322,30.0
tt0088194,tt0080120,30.76923076923077
tt0088194,tt0281322,30.0
tt0080120,tt0281322,30.0
tt1189340,tt1189340,31.428571428571427
tt0289992,tt0084675,30.0
tt5865326,tt0181865,30.0
tt5865326,tt0165854,30.0
tt5865326,tt0452624,30.0
tt5865326,tt0307479,30.0
tt5865326,tt0117561,30.0
tt5865326,tt0349903,30.0
tt5865326,tt0496806,30.0
tt5865326,tt0240772,30.0
tt5865326,tt11525644,30.0
tt0181865,tt0165854,30.76923076923077
tt0181865,tt0452624,30.0
tt0181865,tt0307479,30.0
tt0181865,tt0117561,30.0
tt0181865,tt0349903,30.76923076923077
tt0181865,tt0496806,30.76923076923077
tt0181865,tt0240772,30.0
tt0181865,tt11525644,30.833333333333336
tt0165854,tt0452624,30.0
tt0165854,tt0307479,30.0
tt0165854,tt0117561,30.0
tt0165854,tt0349903,30.0
tt0165854,tt0496806,30.0
tt0165854,tt0240772,30.0
tt0165854,tt11525644,30.0
tt0452624,tt0307479,30.76923076923077
tt0452624,tt0117561,30.0
tt0452624,tt0349903,30.76923076923077
tt0452624,tt0496806,30.76923076923077
tt0452624,tt0240772,30.76923076923077
tt0452624,tt11525644,30.0
tt0307479,tt0117561,30.0
tt0307479,tt0349903,30.76923076923077
tt0307479,tt0496806,30.76923076923077
tt0307479,tt0240772,30.76923076923077
tt0307479,tt11525644,30.0
tt0117561,tt0349903,30.0
tt0117561,tt0496806,30.0
tt0117561,tt0240772,30.0
tt0117561,tt11525644,30.0
tt0349903,tt0496806,30.909090909090907
tt0349903,tt0240772,31.11111111111111
tt0349903,tt11525644,30.0
tt0496806,tt0240772,31.0
tt0496806,tt11525644,30.76923076923077
tt0240772,tt11525644,30.0
tt0102266,tt0108399,30.0
tt0102266,tt0085701,30.0
tt0108399,tt0085701,30.0
tt12783454,tt9784456,31.428571428571427
tt12783454,tt3799232,31.11111111111111
tt9784456,tt3799232,31.11111111111111
tt1155076,tt0838232,30.0
tt1302006,tt1130884,30.0
tt1302006,tt0407887,30.0
tt1302006,tt0338751,30.0
tt1130884,tt0407887,30.76923076923077
tt1130884,tt0338751,30.76923076923077
tt0407887,tt0338751,30.76923076923077
tt0373926,tt0073802,30.0
tt0373926,tt0073918,30.0
tt0073802,tt0073918,30.0
tt2113075,tt0120169,15.0
tt3758814,tt0330793,30.0
tt0457939,tt0120783,30.0
tt0457939,tt0207201,30.0
tt0120783,tt0207201,30.0
tt1860242,tt0265662,30.0
tt1860242,tt2140373,30.0
tt1860242,tt10016180,30.0
tt1860242,tt0878804,30.76923076923077
tt0265662,tt2140373,30.0
tt0265662,tt10016180,30.0
tt0265662,tt0878804,30.0
tt2140373,tt10016180,30.0
tt2140373,tt0878804,30.0
tt10016180,tt0878804,30.0
tt3460252,tt0105236,30.833333333333336
tt9683478,tt0384504,30.0
tt9421570,tt0314353,30.0
tt9421570,tt2302755,30.0
tt9421570,tt0139654,30.76923076923077
tt9421570,tt12363832,30.0
tt0314353,tt2302755,30.76923076923077
tt0314353,tt0139654,30.0
tt0314353,tt12363832,30.0
tt2302755,tt0139654,30.0
tt2302755,tt12363832,30.0
tt0139654,tt12363832,30.0
tt0091129,tt0086397,30.0
tt0091129,tt0091129,31.428571428571427
tt0091129,tt0092214,30.0
tt0091129,tt0078227,30.0
tt0086397,tt0091129,30.0
tt0086397,tt0092214,30.0
tt0086397,tt0078227,30.0
tt0092214,tt0078227,30.0
tt2249081,tt1046171,30.0
tt7395114,tt1790834,30.0
tt5233558,tt11394200,30.0
tt1878841,tt2004432,30.0
tt3065204,tt1457767,30.833333333333336
tt1457767,tt1457767,31.428571428571427
tt2548396,tt1706625,30.0
tt11057644,tt0107614,30.0
tt11057644,tt0814255,30.0
tt11057644,tt0294870,30.0
tt0107614,tt0814255,30.76923076923077
tt0107614,tt0294870,30.0
tt0814255,tt0294870,30.0
tt2132285,tt5592248,30.0
tt8106576,tt1049400,30.0
tt8106576,tt2120152,30.0
tt8106576,tt4185572,30.0
tt1049400,tt2120152,30.0
tt1049400,tt4185572,30.0
tt2120152,tt4185572,30.0
tt6412452,tt0093822,15.0
tt11024272,tt4225622,31.0
tt11024272,tt8179388,30.76923076923077
tt11024272,tt0758794,30.0
tt11024272,tt0438488,30.0
tt4225622,tt8179388,30.0
tt4225622,tt0758794,30.0
tt4225622,tt0438488,30.0
tt8179388,tt0758794,30.0
tt8179388,tt0438488,30.0
tt0758794,tt0438488,30.0
tt3691740,tt1568911,30.0
tt3691740,tt0119567,30.0
tt3691740,tt0088939,30.0
tt3691740,tt1677720,30.76923076923077
tt1568911,tt0119567,30.0
tt1568911,tt0088939,30.0
tt1568911,tt1677720,30.0
tt0119567,tt0088939,30.0
tt0119567,tt1677720,30.0
tt0088939,tt1677720,30.0
tt1655442,tt1655442,31.428571428571427
tt3960240,tt3730510,30.0
tt0415306,tt0838283,30.833333333333336
tt1135084,tt6749318,15.0
tt0423294,tt0120855,10.0
tt0164912,tt0243585,31.11111111111111
tt0164912,tt0164912,31.428571428571427
tt0164912,tt0110357,15.0
