id,group,popu,year,label,duration,plateform,country,rating,link,size
tt0473356,80,2.8497486883296017,2007,The Flock,105,['Amazon Prime'],North America,57,https://image.tmdb.org/t/p/original/nE68AUtN7QX2xieiqJTQlQecjft.jpg,20
tt1787810,99,3.5447601485534816,2011,The Flaw,78,['Amazon Prime'],Europe,71,https://image.tmdb.org/t/p/original/3LWHPi5b2MwJCxN1otfrPBoPhsN.jpg,41
tt2538204,35,2.5449554912609837,2015,#Lucky Number,80,['Disney +'],North America,51,https://image.tmdb.org/t/p/original/wA4Ig8y8ggVVzbgZHlyOm56AxVD.jpg,15
tt3544734,35,2.599451997051244,2014,Zapped,92,['Disney +'],North America,52,https://image.tmdb.org/t/p/original/u33QFfbvChD5LNcuZD0LsSVnoa1.jpg,16
tt9766166,4,2.9984728938991068,2020,Z-O-M-B-I-E-S 2,84,['Disney +'],North America,60,https://image.tmdb.org/t/p/original/frTwEqSMWQ27oQeuiBO5PT0ZNqq.jpg,24
tt6878820,10751,3.0993316805027504,2018,Z-O-M-B-I-E-S,94,['Disney +'],North America,62,https://image.tmdb.org/t/p/original/6S9O5U7Ietqh6zTtZhGbhbA3Pze.jpg,26
tt0318850,12,2.7975535169752828,2003,Young Black Stallion,49,['Disney +'],North America,56,https://image.tmdb.org/t/p/original/emHK0UPlznLOkeu1Ml4ctoEQGp7.jpg,19
tt1414382,35,2.899942799096622,2010,You Again,105,['Disney +'],North America,58,https://image.tmdb.org/t/p/original/9qI5JE6yjmtakTankuDOMZ1vgEx.jpg,21
tt0290334,28,3.6999930213631167,2003,X2,133,['Disney +'],North America,74,https://image.tmdb.org/t/p/original/tRDvoi7z7B6YdzoRcRQ8LwLA47q.jpg,48
tt0376994,28,3.3499932839149764,2006,X-Men: The Last Stand,104,['Disney +'],North America,67,https://image.tmdb.org/t/p/original/7RSSkRpwvkNN5iKO8zACtBA0KhQ.jpg,34
tt1270798,28,3.849994224972568,2011,X-Men: First Class,132,['Disney +'],North America,77,https://image.tmdb.org/t/p/original/vUvlOY575rztBuJV3a0dbHW5MQR.jpg,56
tt1877832,28,3.9499942216783612,2014,X-Men: Days of Future Past,132,['Disney +'],Europe,79,https://image.tmdb.org/t/p/original/9aq2sHfkkAFwH0wi4bZasXA8NbS.jpg,62
tt3385516,28,3.449991643302228,2016,X-Men: Apocalypse,144,['Disney +'],North America,69,https://image.tmdb.org/t/p/original/2mtQwJKVKQrZgTz49Dizb25eOQQ.jpg,37
tt0120903,28,3.699993741622019,2000,X-Men,104,['Disney +'],North America,74,https://image.tmdb.org/t/p/original/ypiv2HEiNftzrg9ovDCFv16Q6Ti.jpg,48
tt1772341,16,3.8499903604563386,2012,Wreck-It Ralph,101,['Disney +'],North America,77,https://image.tmdb.org/t/p/original/tlboPAzzBu04D89hJ57CZXmF1fx.jpg,56
tt1369845,16,3.0998202325379607,2009,Wizards of Waverly Place: The Movie,94,['Disney +'],North America,62,https://image.tmdb.org/t/p/original/reHGWHlF5tHwFQiFmsWHn9gwIpq.jpg,26
tt0324572,16,3.348550097404157,2002,Winnie the Pooh: A Very Merry Pooh Year,65,['Disney +'],North America,67,https://image.tmdb.org/t/p/original/1NbobWwoX7kFd1if8aCyCtFRZpu.jpg,34
tt1449283,16,3.5998474220687258,2011,Winnie the Pooh,63,['Disney +'],North America,72,https://image.tmdb.org/t/p/original/wMZU69sPEP8dSNU0nMWVt7b54EQ.jpg,43
tt1222816,99,3.6936913911289486,2011,Wings of Life,77,['Disney +'],Europe,74,https://image.tmdb.org/t/p/original/u7wfV0wDV3drPcuKyHXEMDhuB9t.jpg,48
tt0096446,28,3.6499661609348855,1988,Willow,126,['Disney +'],North America,73,https://image.tmdb.org/t/p/original/jfTpuQGMHinR3dc6mZ5bXq3mTKk.jpg,46
tt0096438,16,3.8499799658117877,1988,Who Framed Roger Rabbit,104,['Disney +'],North America,77,https://image.tmdb.org/t/p/original/lYfRc57Kx9VgLZ48iulu0HKnM15.jpg,56
tt0111701,12,2.7487818383366456,1994,White Fang 2: Myth of the White Wolf,106,['Disney +'],North America,55,https://image.tmdb.org/t/p/original/7Zu4SnJpcMrVlWcbBvdmtH6egCT.jpg,18
tt0185007,12,2.5427246839720907,2000,Whispers: An Elephant's Tale,72,['Disney +'],North America,51,https://image.tmdb.org/t/p/original/pMLfyyfeHqYcuROsbySrvt8tAN9.jpg,15
tt0114924,35,3.349965498952096,1995,While You Were Sleeping,103,['Disney +'],North America,67,https://image.tmdb.org/t/p/original/qNGO3ETcNwlWqK2kNRpbJSJRlos.jpg,34
tt1389137,35,3.549974625910876,2011,We Bought a Zoo,124,['Disney +'],North America,71,https://image.tmdb.org/t/p/original/dcOvIqdsojUdAtWt1nPT9xS76Su.jpg,41
tt1762399,16,2.599766155506745,2013,Walking with Dinosaurs,87,['Disney +'],Others,52,https://image.tmdb.org/t/p/original/kjFQHmx9EXJPqcyY1NlartUXkTE.jpg,16
tt1159961,99,3.79870506049984,2009,Waking Sleeping Beauty,86,['Disney +'],North America,76,https://image.tmdb.org/t/p/original/toFCmk6AfrJcxDGuEwy6YMpUmGC.jpg,53
tt0910970,16,4.199996004389464,2008,WALL·E,98,['Disney +'],North America,84,https://image.tmdb.org/t/p/original/Agc6lw8pb6BIGVeguvdjDT0p9Mb.jpg,80
tt0361089,16,2.7498758997270007,2005,Valiant,76,['Disney +'],Europe,55,https://image.tmdb.org/t/p/original/chtAKvXb897I2Pn8HOkV4TC5Jzz.jpg,18
tt10833270,10751,2.6979318269874133,2020,Upside-Down Magic,96,['Disney +'],North America,54,https://image.tmdb.org/t/p/original/h9vTJ78h0SASYUxg4jV0AQ00oF2.jpg,17
tt0080062,12,2.5976940134549986,1979,Unidentified Flying Oddball,93,['Disney +'],North America,52,https://image.tmdb.org/t/p/original/7A1W1js0sFOZdOgnxYlAJ4Hauwh.jpg,16
tt0467110,28,2.3998868804939764,2007,Underdog,81,['Disney +'],North America,48,https://image.tmdb.org/t/p/original/cS6tRaAvjWPjVSRnkhUi4EPX6dk.jpg,13
