id,group,popu,year,label,duration,plateform,country,rating,link
tt8289196,99,3.644744421355037,2018,John McCain: For Whom the Bell Tolls,104,"['Netflix', 'HBO']",North America,73,https://image.tmdb.org/t/p/original/2tr6BdJ7ph0ZfKgf0CkeqxYbZTC.jpg
tt10310096,99,3.8456423321010256,2020,John Lewis: Good Trouble,98,"['Netflix', 'HBO']",North America,77,https://image.tmdb.org/t/p/original/yReldTMG15mkK4DpGiYPdHN7reJ.jpg
tt14911244,99,3.387613857074952,2021,Jagged,97,"['Netflix', 'HBO']",North America,68,https://image.tmdb.org/t/p/original/9RFi7IPG5dr8Ptd74uqODXWRNDn.jpg
tt0141109,35,2.699921851256898,1998,Jack Frost,101,"['Netflix', 'HBO']",North America,54,https://image.tmdb.org/t/p/original/tdSyQJe7vEDcH9kEVqzVcr0O9lS.jpg
tt3468260,16,2.899257837496054,2014,JLA Adventures: Trapped in Time,52,"['Netflix', 'HBO']",North America,58,https://image.tmdb.org/t/p/original/bm8LNDoKWWPnDTEAxJ6VrlPHWub.jpg
tt1616195,1,3.249974220364326,2011,J. Edgar,137,"['Netflix', 'HBO']",North America,65,https://image.tmdb.org/t/p/original/hWHFPhGvCvfHbZCxJSR3n6GsXIf.jpg
tt4322280,99,2.8784387614031077,2015,"It's Me, Hilary: The Man Who Drew Eloise",36,"['Netflix', 'HBO']",North America,58,https://image.tmdb.org/t/p/original/8Vmzsf3RWMDul4biamQE6CeWvWC.jpg
tt7029788,99,3.3284566661249486,2018,It Will be Chaos,93,"['Netflix', 'HBO']",Europe,67,https://image.tmdb.org/t/p/original/cvTWRuxiPaOn00g8M3d7agH3wYp.jpg
tt0113442,35,2.949865869461455,1995,It Takes Two,101,"['Netflix', 'HBO']",North America,59,https://image.tmdb.org/t/p/original/sdes5TrRbymELYLG85YIxmFb1OP.jpg
tt7349950,14,3.2499862810444133,2019,It Chapter Two,169,"['Netflix', 'HBO']",North America,65,https://image.tmdb.org/t/p/original/zfE0R94v1E8cuKAerbskfD3VfUt.jpg
tt9076562,35,3.1498082950431168,2020,Irresistible,101,"['Netflix', 'HBO']",North America,63,https://image.tmdb.org/t/p/original/hUpYDriYa5YkwwxeafUsowTweBg.jpg
tt0480251,35,3.248587877493435,2006,Ira & Abby,104,"['Netflix', 'HBO']",North America,65,https://image.tmdb.org/t/p/original/9E3Ss1qid3rXoNBuHFnZntHHPdV.jpg
tt0172348,1,3.54900182764611,1999,Introducing Dorothy Dandridge,115,"['Netflix', 'HBO']",North America,71,https://image.tmdb.org/t/p/original/7lwkEnMcXEhwABUizMrq9wIbUDL.jpg
tt0278504,9648,3.5999874088232673,2002,Insomnia,118,"['Netflix', 'HBO']",North America,72,https://image.tmdb.org/t/p/original/cwB0t4OHX1Pw1Umzc9jPgzalUpS.jpg
tt0494238,12,3.049959875548423,2008,Inkheart,106,"['Netflix', 'HBO']",North America,61,https://image.tmdb.org/t/p/original/nPCxkoaxio4YPZmMdnQ2EFbgtUo.jpg
