source,target,value
tt4426464,tt0837796,1
tt3120960,tt1212022,1
tt3120960,tt0837796,1
tt1212022,tt0837796,1
tt0101452,tt3727982,1
tt0101452,tt0111161,1
tt3727982,tt0111161,1
tt0121765,tt4575576,1
tt0121765,tt0358082,1
tt0121765,tt0361089,1
tt4575576,tt0358082,1
tt4575576,tt0361089,1
tt0358082,tt0361089,1
tt0121765,tt0349467,1
tt8829830,tt0278504,1
tt4981636,tt10731768,1
tt9777644,tt0113161,1
tt0926063,tt1114677,1
tt0469494,tt0449059,1
tt0285823,tt0367594,1
tt0285823,tt0383574,1
tt0285823,tt1333667,1
tt0367594,tt0383574,1
tt0367594,tt1333667,1
tt0383574,tt1333667,1
tt0285823,tt3120960,1
tt0426883,tt5397194,1
tt0426883,tt0080140,1
tt0120654,tt0120363,1
tt0401997,tt3776288,1
tt0358135,tt3411444,1
tt0358135,tt0499603,1
tt3411444,tt0499603,1
tt3416532,tt11044122,1
tt0328880,tt0831884,1
tt0463854,tt5686132,1
tt0463854,tt3385516,1
tt5686132,tt3385516,1
tt0067454,tt1356790,1
tt0358082,tt0278504,1
tt0358082,tt2261287,1
tt0111070,tt0120363,1
tt0111070,tt11044122,1
tt0120363,tt11044122,1
tt0111070,tt0101004,1
tt0101627,tt0450259,1
tt8610436,tt6217926,1
tt0120363,tt0120689,1
tt0438488,tt0367594,1
tt0438488,tt5164214,1
tt0367594,tt5164214,1
tt0438488,tt1798243,1
tt0278504,tt8816194,1
tt0093036,tt0212815,1
tt10432682,tt10432682,1
tt0080140,tt0124718,1
tt7986276,tt2388667,1
tt0066193,tt0063374,1
tt8431078,tt1303828,1
tt3120960,tt1619880,1
tt0367594,tt2828996,1
tt3864056,tt5164214,1
tt0120812,tt0106375,1
tt0120689,tt0106375,1
tt0120689,tt0452598,1
tt0106375,tt0452598,1
tt0120689,tt2073086,1
tt1054588,tt0449059,1
tt1054588,tt7608028,1
tt1054588,tt7653254,1
tt1778924,tt4920274,1
tt7322864,tt2235902,1
tt1911658,tt1211837,1
tt10152736,tt1694542,1
tt1798243,tt0181875,1
tt1798243,tt6018306,1
tt1798243,tt1258972,1
tt11044122,tt0330373,1
tt0115509,tt1212022,1
tt7653254,tt6217926,1
tt7653254,tt11668320,1
tt12690910,tt5686132,1
tt1211837,tt0800320,1
tt4853102,tt4920274,1
tt0130018,tt0398842,1
tt1303828,tt1860242,1
tt0499603,tt0111161,1
tt0101004,tt0469641,1
tt1153546,tt9217732,1
tt0398842,tt1255916,1
tt0200469,tt0111161,1
